player_id,player_name,player_username,stamina,player_exp,player_lvl,player_echelon,equip_wpn_id,equip_armour_id,equip_acc_id,equip_wing_id,equip_crest_id,player_class,player_coins
10001,mistysyn,Archael,292,1823,9,0,W82,A24,Y11,G25,C36,Summoner,1000
10002,jeradsee,jeradsee,2000,0,0,0,,,,,,Summoner,0
10003,volfendafl,volfendafl,2000,0,0,0,,,,,,Summoner,0
10004,aslut4dimitri,aslut4dimitri,2000,0,0,0,,,,,,Summoner,0
10005,pota8095,pota8095,2000,0,0,0,,,,,,Summoner,0
10006,_bahamut7,_bahamut7,2000,0,0,0,,,,,,Summoner,0
10007,Pandora Bot#9969,Pandora Bot#9969,2000,0,0,0,,,,,,Summoner,0
